financials.Month Name,financials.Segment,Sum(financials. Sales),Sum(financials.Profit),Sum(financials.Gross Sales),
April,Government,1956124.845,451012.34500000003,2117355.5,NaN
April,Small Business,3054922.5,330422.5,3269400,NaN
April,Enterprise,1649416.875,2416.875,1715625,NaN
April,Midmarket,167093.55,44813.55,183420,NaN
April,Channel Partners,137217.3,101319.3,143592,NaN
August,Government,2090277.38,458662.38000000006,2253495,NaN
August,Small Business,2454816,256316,2638200,NaN
August,Enterprise,1062677.5,-44322.5,1153125,NaN
August,Midmarket,143990.7,38140.7,158775,NaN
August,Channel Partners,112860.84,82269.84,122364,NaN
December,Government,8417869.719999997,2013474.7200000007,8760667,NaN
December,Small Business,5043570,564570,5374800,NaN
December,Enterprise,3352637.5,-110322.5,3607250,NaN
December,Midmarket,339254.4,93814.4,368160,NaN
December,Channel Partners,213897.35999999996,155793.36,232416,NaN
February,Government,2989162.42,686597.4199999998,3148165,NaN
February,Small Business,3187785,385285,3363000,NaN
February,Enterprise,926216.25,-20943.75,986625,NaN
February,Midmarket,109510.8,35260.799999999996,111375,NaN
February,Channel Partners,84856.92,62347.92,90036,NaN
January,Government,2693632.935,516910.435,2993771.5,NaN
January,Small Business,2775082.5,231457.5,3052350,NaN
January,Enterprise,892823.75,-60516.25,993062.5,NaN
January,Midmarket,115165.275,30380.275,127177.5,NaN
January,Channel Partners,131057.22000000002,95796.72000000002,141042,NaN
July,Government,3029874.64,610577.1399999999,3295944.5,NaN
July,Small Business,3090361.5,209236.5,3457350,NaN
July,Enterprise,1756436.25,2456.25,1827062.5,NaN
July,Midmarket,131039.54999999999,32664.549999999996,147562.5,NaN
July,Channel Partners,95208.24,68931.24,105108,NaN
June,Government,4591347.179999998,931367.1799999997,5014072,NaN
June,Small Business,3171096,330096,3409200,NaN
June,Enterprise,1261932.5,-17027.5,1332250,NaN
June,Midmarket,313279.49999999994,94339.5,328410,NaN
June,Channel Partners,181238.64,134978.63999999998,185040,NaN
March,Government,2247096.3600000003,449176.3599999999,2472234,NaN
March,Small Business,2068179,139179,2314800,NaN
March,Enterprise,1077126.25,-10073.75,1132500,NaN
March,Midmarket,118467.9,35667.9,124200,NaN
March,Channel Partners,75990.36,55917.36,80292,NaN
May,Government,2806323.09,505178.08999999997,3143777,NaN
May,Small Business,2252736,288486,2357100,NaN
May,Enterprise,973555,-51125,1067375,NaN
May,Midmarket,89218.65,22688.65,99795,NaN
May,Channel Partners,88378.31999999999,63412.31999999999,99864,NaN
November,Government,5055080.3999999985,917140.4000000001,5684318,NaN
November,Small Business,5004150,351900,5582700,NaN
November,Enterprise,2143332.5,-120347.5,2358000,NaN
November,Midmarket,226759.20000000004,58939.2,251730,NaN
November,Channel Partners,222095.4,162470.4,238500,NaN
October,Government,11484032.75999999,2670522.7600000026,12058282,NaN
October,Small Business,6438126,565126,7047600,NaN
October,Enterprise,3080947.5,-91372.5,3304500,NaN
October,Midmarket,418319.4,114499.40000000001,455730,NaN
October,Channel Partners,250005.36000000002,181005.36000000002,276000,NaN
September,Government,5143438.94,1177553.9399999997,5460985,NaN
September,Small Business,3887094,491094,4075200,NaN
September,Enterprise,1434592.5,-93367.5,1591625,NaN
September,Midmarket,209784.14999999997,58894.149999999994,226335,NaN
September,Channel Partners,207787.68,152560.68000000002,220908,NaN
