financials.Product,financials.Country,Sum(financials.Gross Sales),Sum(financials. Sales),Sum(financials.COGS),
Amarilla,United States of America,3127531.5,2837117.4050000003,2448491,"2448491,0,2448491"
Amarilla,Canada,4164683.5,3855765.8750000005,3208904.5,"3208904.5,2448491,5657395.5"
Amarilla,France,4318664,4016427.1300000004,3348559.5,"3348559.5,5657395.5,9005955"
Amarilla,Germany,4123204.5,3960250.26,3348113,"3348113,9005955,12354068"
Amarilla,Mexico,3303196,3077555.39,2578944,"2578944,12354068,14933012"
Carretera,United States of America,2005450.5,1839839.55,1601348,"1601348,0,1601348"
Carretera,Canada,2825853.5,2610204.34,2174099,"2174099,1601348,3775447"
Carretera,France,3687829.5,3423321.895,3034457,"3034457,3775447,6809904"
Carretera,Germany,3306376,3062340.68,2692666,"2692666,6809904,9502570"
Carretera,Mexico,3112011,2879601.4200000004,2485933,"2485933,9502570,11988503"
Montana,United States of America,3873574,3644126.8,3209605,"3209605,0,3209605"
Montana,Canada,2982114.5,2711919.03,2390052,"2390052,3209605,5599657"
Montana,France,3843216,3527382.37,3066144,"3066144,5599657,8665801"
Montana,Germany,3798355,3566044.37,3006606,"3006606,8665801,11672407"
Montana,Mexico,2052575,1941329.3099999998,1603640,"1603640,11672407,13276047"
Paseo,United States of America,7466239,6944325.77,5923722.5,"5923722.5,13045583,18969305.5"
Paseo,Canada,8172612,7611520.990000001,6346503,"6346503,6699080,13045583"
Paseo,France,5984767,5597751.06,4759002.5,"4759002.5,18969305.5,23728308"
Paseo,Germany,5555838,5229814.74,4485398,"4485398,23728308,28213706"
Paseo,Mexico,8432206,7627731.390000001,6699080,"6699080,0,6699080"
Velo,United States of America,4773671,4298828,4033427,"4033427,0,4033427"
Velo,Canada,3660387,3329490.34,2958922,"2958922,4033427,6992349"
Velo,France,4244434.5,3978096.2350000003,3270166,"3270166,6992349,10262515"
Velo,Germany,4637903,4392907,3604118,"3604118,10262515,13866633"
Velo,Mexico,2510373,2250737.8899999997,2077434,"2077434,13866633,15944067"
VTT,United States of America,6022892,5465592.64,4817696,"4817696,0,4817696"
VTT,Canada,5126513,4768754.3100000005,4279945.5,"4279945.5,4817696,9097641.5"
VTT,France,4002763.5,3811193.5899999994,3094822.5,"3094822.5,9097641.5,12192464"
VTT,Germany,3499791,3293983.77,2688051,"2688051,12192464,14880515"
VTT,Mexico,3316574,3172396.7100000004,2596798,"2596798,14880515,17477313"
