financials.Discount Band,financials.Country,Sum(financials. Sales),
High,United States of America,11140926.280000001,"11140926.280000001,0,11140926.280000001"
High,Canada,8657237.659999998,"8657237.659999998,11140926.280000001,19798163.939999998"
High,France,5865834.735,"5865834.735,26627857.63,32493692.365"
High,Germany,4878794.360000001,"4878794.360000001,32493692.365,37372486.725"
High,Mexico,6829693.690000001,"6829693.690000001,19798163.939999998,26627857.63"
Low,United States of America,6273404.135000001,"6273404.135000001,16854507.450000003,23127911.585000005"
Low,Canada,6537899.370000001,"6537899.370000001,10316608.08,16854507.450000003"
Low,France,5913163.185,"5913163.185,23127911.585000005,29041074.770000003"
Low,Germany,10316608.08,"10316608.08,0,10316608.08"
Low,Mexico,5588703.93,"5588703.93,29041074.770000003,34629778.7"
Medium,United States of America,7168350.749999999,"7168350.749999999,25788050.205,32956400.955"
Medium,Canada,7865428.355,"7865428.355,10057889.36,17923317.715"
Medium,France,10057889.36,"10057889.36,0,10057889.36"
Medium,Germany,5824029.879999998,"5824029.879999998,32956400.955,38780430.83499999"
Medium,Mexico,7864732.489999999,"7864732.489999999,17923317.715,25788050.205"
None,United States of America,447149,"447149,0,447149"
None,Canada,1827089.5,"1827089.5,447149,2274238.5"
None,France,2517285,"2517285,2274238.5,4791523.5"
None,Germany,2485908.5,"2485908.5,4791523.5,7277432"
None,Mexico,666222,"666222,7277432,7943654"
