Opportunities.Decision Maker Identified,Opportunities.DaysToClose,Opportunities.Campaign Name,Opportunities.Budget,Opportunities.Discount,Opportunities.Opportunity Owner Name,CountNonNull(Opportunities.Status),
false,48,(Blank),1875,0.063,Molly Clark,1,"1,0,1"
false,48,(Blank),5625,0.063,Molly Clark,1,"1,1,2"
false,52,(Blank),3375,0.063,Alicia Thomber,1,"1,0,1"
false,52,(Blank),4375,0.063,Spencer Low,1,"1,1,2"
false,52,(Blank),1625,0.063,Molly Clark,1,"1,2,3"
false,52,(Blank),2375,0.063,Molly Clark,1,"1,3,4"
false,52,(Blank),2250,0.063,Alicia Thomber,1,"1,4,5"
false,52,(Blank),2000,0.063,Julian Isla,1,"1,5,6"
false,52,(Blank),5750,0.063,Spencer Low,1,"1,6,7"
false,54,(Blank),3375,0.063,Molly Clark,1,"1,0,1"
false,54,(Blank),3750,0.063,Spencer Low,1,"1,1,2"
false,54,(Blank),1625,0.063,Spencer Low,1,"1,2,3"
false,54,(Blank),1750,0.063,Molly Clark,1,"1,3,4"
false,54,(Blank),2625,0.063,Alicia Thomber,1,"1,4,5"
false,54,(Blank),2375,0.063,Molly Clark,1,"1,5,6"
false,54,(Blank),5375,0.063,Alicia Thomber,1,"1,6,7"
false,54,(Blank),5875,0.063,Molly Clark,1,"1,7,8"
false,58,(Blank),3250,0.063,Molly Clark,1,"1,4,5"
false,58,(Blank),3250,0.063,Spencer Low,1,"1,5,6"
false,58,(Blank),3125,0.063,Molly Clark,1,"1,6,7"
false,58,(Blank),3625,0.063,Molly Clark,1,"1,7,8"
false,58,(Blank),4125,0.063,Molly Clark,1,"1,8,9"
false,58,(Blank),4125,0.063,David So,1,"1,9,10"
false,58,(Blank),4250,0.063,Molly Clark,1,"1,10,11"
false,58,(Blank),3750,0.063,Molly Clark,1,"1,11,12"
false,58,(Blank),4000,0.063,Molly Clark,1,"1,12,13"
false,58,(Blank),4625,0.063,Molly Clark,1,"1,13,14"
false,58,(Blank),4750,0.063,Molly Clark,1,"1,14,15"
false,58,(Blank),4375,0.063,Alicia Thomber,1,"1,15,16"
false,58,(Blank),1500,0.063,Molly Clark,1,"1,16,17"
false,58,(Blank),1750,0.063,Molly Clark,2,"2,0,2"
false,58,(Blank),2500,0.063,David So,1,"1,17,18"
false,58,(Blank),1875,0.063,Molly Clark,1,"1,18,19"
false,58,(Blank),2375,0.063,Molly Clark,1,"1,19,20"
false,58,(Blank),2125,0.063,Molly Clark,1,"1,20,21"
false,58,(Blank),2250,0.063,Molly Clark,1,"1,21,22"
false,58,(Blank),2000,0.063,Molly Clark,1,"1,22,23"
false,58,(Blank),2000,0.063,David So,2,"2,2,4"
false,58,(Blank),5625,0.063,Molly Clark,1,"1,23,24"
false,58,(Blank),5625,0.063,David So,1,"1,24,25"
false,58,(Blank),5750,0.063,Molly Clark,1,"1,25,26"
false,58,(Blank),5500,0.063,Spencer Low,1,"1,26,27"
false,59,(Blank),3250,0.063,Molly Clark,1,"1,0,1"
false,59,(Blank),3875,0.063,Molly Clark,1,"1,1,2"
false,60,(Blank),3250,0.063,Spencer Low,1,"1,2,3"
false,60,(Blank),3500,0.063,Spencer Low,1,"1,3,4"
false,60,(Blank),3125,0.063,Julian Isla,1,"1,4,5"
false,60,(Blank),3625,0.063,David So,1,"1,5,6"
false,60,(Blank),4125,0.063,Julian Isla,1,"1,6,7"
false,60,(Blank),4250,0.062,Renee Lo,1,"1,7,8"
