Opportunities.Value,Opportunities.Campaign Name,Opportunities.Budget,Opportunities.Discount,Opportunities.Opportunity Owner Name,CountNonNull(Opportunities.Status),
$100,(Blank),$125,3.1%,Anne Weiler,4,NaN
$100,(Blank),$125,3.1%,Sanjay Shah,3,NaN
$100,(Blank),$125,3.2%,Anne Weiler,4,NaN
$100,(Blank),$125,3.2%,Sanjay Shah,8,NaN
$100,(Blank),$125,3.2%,Greg Winston,9,NaN
$100,(Blank),$125,3.2%,Renee Lo,9,NaN
$100,(Blank),$125,3.3%,Alan Steiner,6,NaN
$100,(Blank),$125,3.3%,Alicia Thomber,18,NaN
$100,(Blank),$125,3.3%,David So,20,NaN
$100,(Blank),$125,3.3%,Eric Gruber,23,NaN
$100,(Blank),$125,3.3%,Jeff Hay,8,NaN
$100,(Blank),$125,3.3%,Julian Isla,6,NaN
$100,(Blank),$125,3.3%,Molly Clark,25,NaN
$100,(Blank),$125,3.3%,Spencer Low,11,NaN
$100,(Blank),$125,3.5%,Anne Weiler,14,NaN
$100,(Blank),$125,3.5%,Renee Lo,3,NaN
$100,(Blank),$125,3.5%,Alan Steiner,11,NaN
$200,(Blank),$250,3.1%,Anne Weiler,1,NaN
$200,(Blank),$250,3.1%,Sanjay Shah,3,NaN
$200,(Blank),$250,3.2%,Anne Weiler,6,NaN
$200,(Blank),$250,3.2%,Sanjay Shah,4,NaN
$200,(Blank),$250,3.2%,Greg Winston,29,NaN
$200,(Blank),$250,3.2%,Renee Lo,4,NaN
$200,(Blank),$250,3.3%,Anne Weiler,1,NaN
$200,(Blank),$250,3.3%,Alan Steiner,7,NaN
$200,(Blank),$250,3.3%,Alicia Thomber,20,NaN
$200,(Blank),$250,3.3%,David So,23,NaN
$200,(Blank),$250,3.3%,Eric Gruber,16,NaN
$200,(Blank),$250,3.3%,Jeff Hay,5,NaN
$200,(Blank),$250,3.3%,Julian Isla,15,NaN
$200,(Blank),$250,3.3%,Molly Clark,23,NaN
$200,(Blank),$250,3.3%,Spencer Low,14,NaN
$200,(Blank),$250,3.5%,Anne Weiler,18,NaN
$200,(Blank),$250,3.5%,Renee Lo,1,NaN
$200,(Blank),$250,3.5%,Alan Steiner,3,NaN
$200,(Blank),$250,3.5%,Molly Clark,4,NaN
$300,(Blank),$375,3.1%,Anne Weiler,1,NaN
$300,(Blank),$375,3.1%,Sanjay Shah,1,NaN
$300,(Blank),$375,3.2%,Anne Weiler,5,NaN
$300,(Blank),$375,3.2%,Sanjay Shah,5,NaN
$300,(Blank),$375,3.2%,Greg Winston,35,NaN
$300,(Blank),$375,3.2%,Renee Lo,6,NaN
$300,(Blank),$375,3.3%,Alan Steiner,7,NaN
$300,(Blank),$375,3.3%,Alicia Thomber,28,NaN
$300,(Blank),$375,3.3%,David So,25,NaN
$300,(Blank),$375,3.3%,Eric Gruber,17,NaN
$300,(Blank),$375,3.3%,Jeff Hay,6,NaN
$300,(Blank),$375,3.3%,Julian Isla,4,NaN
$300,(Blank),$375,3.3%,Molly Clark,21,NaN
$300,(Blank),$375,3.3%,Spencer Low,9,NaN
$300,(Blank),$375,3.5%,Anne Weiler,16,NaN
$300,(Blank),$375,3.5%,Renee Lo,2,NaN
$300,(Blank),$375,3.5%,Alan Steiner,7,NaN
$300,(Blank),$375,3.5%,Molly Clark,2,NaN
$400,(Blank),$500,3.1%,Anne Weiler,2,NaN
$400,(Blank),$500,3.1%,Sanjay Shah,1,NaN
$400,(Blank),$500,3.2%,Anne Weiler,7,NaN
$400,(Blank),$500,3.2%,Sanjay Shah,6,NaN
$400,(Blank),$500,3.2%,Greg Winston,25,NaN
$400,(Blank),$500,3.2%,Renee Lo,9,NaN
$400,(Blank),$500,3.3%,Alan Steiner,7,NaN
$400,(Blank),$500,3.3%,Alicia Thomber,24,NaN
$400,(Blank),$500,3.3%,David So,23,NaN
$400,(Blank),$500,3.3%,Eric Gruber,10,NaN
$400,(Blank),$500,3.3%,Jeff Hay,9,NaN
$400,(Blank),$500,3.3%,Julian Isla,10,NaN
$400,(Blank),$500,3.3%,Molly Clark,26,NaN
$400,(Blank),$500,3.3%,Spencer Low,4,NaN
$400,(Blank),$500,3.5%,Anne Weiler,14,NaN
$400,(Blank),$500,3.5%,Renee Lo,1,NaN
$400,(Blank),$500,3.5%,Alan Steiner,5,NaN
$400,(Blank),$500,3.5%,Molly Clark,1,NaN
$500,(Blank),$625,3.1%,Anne Weiler,3,NaN
$500,(Blank),$625,3.1%,Sanjay Shah,2,NaN
$500,(Blank),$625,3.2%,Anne Weiler,5,NaN
$500,(Blank),$625,3.2%,Sanjay Shah,4,NaN
$500,(Blank),$625,3.2%,Greg Winston,17,NaN
$500,(Blank),$625,3.2%,Renee Lo,3,NaN
$500,(Blank),$625,3.3%,Alan Steiner,7,NaN
$500,(Blank),$625,3.3%,Alicia Thomber,26,NaN
$500,(Blank),$625,3.3%,David So,23,NaN
$500,(Blank),$625,3.3%,Eric Gruber,17,NaN
$500,(Blank),$625,3.3%,Jeff Hay,10,NaN
$500,(Blank),$625,3.3%,Julian Isla,5,NaN
$500,(Blank),$625,3.3%,Molly Clark,15,NaN
$500,(Blank),$625,3.3%,Spencer Low,8,NaN
$500,(Blank),$625,3.5%,Anne Weiler,12,NaN
$500,(Blank),$625,3.5%,Renee Lo,4,NaN
$500,(Blank),$625,3.5%,Alan Steiner,10,NaN
$500,(Blank),$625,3.5%,Molly Clark,4,NaN
$500,(Blank),$625,0.2%,Anne Weiler,2,NaN
$500,(Blank),$625,0.2%,Greg Winston,5,NaN
$500,(Blank),$625,0.3%,Alan Steiner,3,NaN
$500,(Blank),$625,0.3%,Alicia Thomber,6,NaN
$500,(Blank),$625,0.3%,David So,8,NaN
$500,(Blank),$625,0.3%,Eric Gruber,2,NaN
$500,(Blank),$625,0.3%,Julian Isla,1,NaN
$500,(Blank),$625,0.3%,Molly Clark,7,NaN
$500,(Blank),$625,0.3%,Spencer Low,2,NaN
$500,(Blank),$625,0.5%,Anne Weiler,2,NaN
$500,(Blank),$625,0.5%,Alan Steiner,1,NaN
$500,(Blank),$625,3.7%,Renee Lo,1,NaN
$500,(Blank),$625,3.8%,Alan Steiner,1,NaN
$500,(Blank),$625,3.8%,Alicia Thomber,3,NaN
$500,(Blank),$625,3.8%,David So,3,NaN
$500,(Blank),$625,3.8%,Eric Gruber,1,NaN
$500,(Blank),$625,3.8%,Julian Isla,3,NaN
$500,(Blank),$625,3.8%,Molly Clark,1,NaN
$500,(Blank),$625,4.0%,Anne Weiler,2,NaN
$500,Consumer Tradeshow,$625,5.5%,Anne Weiler,1,NaN
$500,Customer Care Campaign,$625,2.8%,Alan Steiner,1,NaN
$500,Customer Care Campaign,$625,2.8%,David So,2,NaN
$500,Customer Care Campaign,$625,3.0%,Anne Weiler,1,NaN
$600,(Blank),$750,3.1%,Anne Weiler,1,NaN
